2025-06-27 11:02:52,416 - WARNING - Some parameters are on the meta device because they were offloaded to the cpu and disk.
2025-06-27 11:04:39,363 - INFO - Param: model.embed_tokens.weight, Device: cpu
2025-06-27 11:04:39,363 - INFO - Param: model.layers.0.self_attn.q_proj.weight, Device: cpu
2025-06-27 11:04:39,363 - INFO - Param: model.layers.0.self_attn.k_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.self_attn.v_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.self_attn.o_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.self_attn.q_norm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.self_attn.k_norm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.mlp.gate_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.mlp.up_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.mlp.down_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.input_layernorm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.0.post_attention_layernorm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.q_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.k_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.v_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.o_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.q_norm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.self_attn.k_norm.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.mlp.gate_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.mlp.up_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.mlp.down_proj.weight, Device: cpu
2025-06-27 11:04:39,364 - INFO - Param: model.layers.1.input_layernorm.weight, Device: cpu
